  Fetching DataLab: season=046 index=01 (id=04601011)...
  Fetching DataLab: season=046 index=02 (id=04601021)...
  Fetching DataLab: season=046 index=03 (id=04601031)...
  Fetching DataLab: season=046 index=04 (id=04601041)...
  Fetching DataLab: season=046 index=05 (id=04601051)...
  Fetching DataLab: season=046 index=06 (id=04601061)...
  Fetching DataLab: season=046 index=07 (id=04601071)...
  Fetching DataLab: season=046 index=08 (id=04601081)...
  Fetching DataLab: season=046 index=09 (id=04601091)...
  Fetching DataLab: season=046 index=10 (id=04601101)...
  Fetching DataLab: season=046 index=11 (id=04601111)...
  Fetching DataLab: season=046 index=12 (id=04601121)...
  Fetching DataLab: season=046 index=13 (id=04601131)...
  Fetching DataLab: season=046 index=14 (id=04601141)...
  Fetching DataLab: season=046 index=15 (id=04601151)...
  Fetching DataLab: season=045 index=01 (id=04501011)...
  Fetching DataLab: season=045 index=02 (id=04501021)...
  Fetching DataLab: season=045 index=03 (id=04501031)...
  Fetching DataLab: season=045 index=04 (id=04501041)...
  Fetching DataLab: season=045 index=05 (id=04501051)...
  Fetching DataLab: season=045 index=06 (id=04501061)...
  Fetching DataLab: season=045 index=07 (id=04501071)...
  Fetching DataLab: season=045 index=08 (id=04501081)...
  Fetching DataLab: season=045 index=09 (id=04501091)...
  Fetching DataLab: season=045 index=10 (id=04501101)...
  Fetching DataLab: season=045 index=11 (id=04501111)...
  Fetching DataLab: season=045 index=12 (id=04501121)...
  Fetching DataLab: season=045 index=13 (id=04501131)...
  Fetching DataLab: season=045 index=14 (id=04501141)...
  Fetching DataLab: season=045 index=15 (id=04501151)...
  Fetching DataLab: season=044 index=01 (id=04401011)...
  Fetching DataLab: season=044 index=02 (id=04401021)...
  Fetching DataLab: season=044 index=03 (id=04401031)...
  Fetching DataLab: season=044 index=04 (id=04401041)...
  Fetching DataLab: season=044 index=05 (id=04401051)...
  Fetching DataLab: season=044 index=06 (id=04401061)...
  Fetching DataLab: season=044 index=07 (id=04401071)...
  Fetching DataLab: season=044 index=08 (id=04401081)...
  Fetching DataLab: season=044 index=09 (id=04401091)...
  Fetching DataLab: season=044 index=10 (id=04401101)...
  Fetching DataLab: season=044 index=11 (id=04401111)...
  Fetching DataLab: season=044 index=12 (id=04401121)...
  Fetching DataLab: season=044 index=13 (id=04401131)...
  Fetching DataLab: season=044 index=14 (id=04401141)...
  Fetching DataLab: season=044 index=15 (id=04401151)...
  Fetching DataLab: season=043 index=01 (id=04301011)...
  Fetching DataLab: season=043 index=02 (id=04301021)...
  Fetching DataLab: season=043 index=03 (id=04301031)...
  Fetching DataLab: season=043 index=04 (id=04301041)...
  Fetching DataLab: season=043 index=05 (id=04301051)...
  Fetching DataLab: season=043 index=06 (id=04301061)...
  Fetching DataLab: season=043 index=07 (id=04301071)...
  Fetching DataLab: season=043 index=08 (id=04301081)...
  Fetching DataLab: season=043 index=09 (id=04301091)...
  Fetching DataLab: season=043 index=10 (id=04301101)...
  Fetching DataLab: season=043 index=11 (id=04301111)...
  Fetching DataLab: season=043 index=12 (id=04301121)...
  Fetching DataLab: season=043 index=13 (id=04301131)...
  Fetching DataLab: season=043 index=14 (id=04301141)...
  Fetching DataLab: season=043 index=15 (id=04301151)...
  Fetching DataLab: season=042 index=01 (id=04201011)...
  Fetching DataLab: season=042 index=02 (id=04201021)...
  Fetching DataLab: season=042 index=03 (id=04201031)...
